t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,u_1,u_2,u_3,u_4,comm_t,comm_id,comm_type
0,-11.5,3.799999999999999822,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0.1979529170931427495,0,5,3.86296,1.13704,0.0039239,0,3
0.003923903022073659159,-11.49999998372666177,3.799999995095621141,2.500003301226393582,0.9999997906380757584,0.0001867210372212252509,0.0006195635918109351683,-1.105150620864158817e-09,1.658892777346483596e-05,-4.999489713315174614e-06,0.001682618238448654793,0.1903421667796382777,0.6315789471627973883,-2.253165722817132093e-06,0.01268297772551800658,-0.003822333650228468965,0.1979443454700098581,0,5,3.86296,1.13704,0.0039239,0,3
0.007847806044147318319,-11.49999973962681565,3.79999992153000532,2.500013204641619691,0.9999966502110092526,0.0007468833671805082727,0.002478251772886828214,-1.768241102356663813e-08,0.0001327111805206169658,-3.999584591101114546e-05,0.003365034671831981794,0.380684355113582007,1.263157887745635755,-1.802532618072455169e-05,0.05073169822025843517,-0.01528927142477572165,0.1978157714101538012,0,5,3.86296,1.13704,0.0039239,0,3
0.01177170906622097835,-11.49999868186585772,3.799999602747169636,2.500029707870095041,0.9999830417318110731,0.001680479956899035184,0.005576041193344492657,-8.951722051127637686e-08,0.0004478967432933363135,-0.000134984943060309742,0.00504624028303528923,0.5710266727733656067,1.894736788848709885,-6.083548166898642377e-05,0.1141442473471977331,-0.03440024479060284357,0.1972586233720500515,0,5,3.86296,1.13704,0.0039239,0,3
0.01569561208829463664,-11.4999958340888,3.799998744497839365,2.500052801673574798,0.9999464038255426734,0.002987483456076015474,0.009912841048679080225,-2.829187602006623666e-07,0.001061658910508570496,-0.0003199576982103934184,0.006723611709759030192,0.761369399965049154,2.526315564932426483,-0.0001442026602837357676,0.2029131814351228524,-0.06115304284381197636,0.1957586596713055682,0,5,3.86296,1.13704,0.0039239,0,3
0.01961951511036829493,-11.4999898295430647,3.799996934875921273,2.500082462033548669,0.9998691516497749676,0.004667822755116414132,0.01548841525128561228,-6.907203510034019322e-07,0.002073460907074275127,-0.000624890156867976632,0.008392104458392002364,0.9517130755468126146,3.157894051497035282,-0.0002816459735237129966,0.3170191482813144446,-0.09554191763302730123,0.1925961192165929481,0,5,3.86296,1.13704,0.0039239,0,3
0.02354341813244195322,-11.49997891138790429,3.79999364441040699,2.50011863906954046,0.999728679214073046,0.006721350170147466496,0.02230227348366187884,-1.432280455318039028e-06,0.00358265247939173765,-0.001079724659387662532,0.01004344711149671859,1.142058583247403725,3.789471978761044468,-0.000486684721933571061,0.456421960827714468,-0.1375549328812125105,0.1868461013173024765,0,5,3.86296,1.13704,0.0039239,0,3
0.02746732115451561151,-11.49996093332787517,3.799988226253525614,2.500161242799376016,0.9994973641291170496,0.009147799262801008247,0.03035353116020519243,-2.653484722989891768e-06,0.005688366475775300489,-0.001714339123502496044,0.01166533774290653795,1.332407237886479967,4.421048945336931268,-0.0007728385674692729362,0.6210491323048212831,-0.1871705587181803632,0.1773793431884127247,0,5,3.86296,1.13704,0.0039239,0,3
0.03139122417658927328,-11.4999333607468639,3.799979916517570278,2.500210125753669743,0.9991425761099688163,0.01194673331047295915,0.03964073835197180068,-4.526749638384763092e-06,0.008489365486525672633,-0.002558501493678698967,0.01324064451003106359,1.5227608715985399,5.052624391901731293,-0.001153627789266118992,0.8107818906042917328,-0.2443535176995441094,0.1628636115889255387,0,5,3.86296,1.13704,0.0039239,0,3
0.03531512719866293504,-11.49989327255796567,3.799967834824344859,2.500265062466293209,0.998626690851068477,0.01511748445498679351,0.05016167777103776315,-7.251028427650979129e-06,0.01208382870889471161,-0.003641806436198030857,0.01474661333522056701,1.713121920062944614,5.684197574858933066,-0.001642573639489957986,1.02543870343335719,-0.3090498914846965262,0.1417659723019004947,0,5,3.86296,1.13704,0.0039239,0,3
0.0392390302207365968,-11.49983736402281487,3.799950985142555915,2.500325725876168637,0.997907111182167128,0.01865908357503011719,0.0619131319714544201,-1.105181996266699863e-05,0.01656906936247986781,-0.004993591406487074384,0.01615408671407819394,1.903493508743511198,6.315767539986712364,-0.002253198815952154894,1.264756365466571442,-0.3811815033869559999,0.1123562474846530046,0,5,3.86296,1.13704,0.0039239,0,3
0.04316293324281025856,-11.4997619508314699,3.799928256999610454,2.500391660694074591,0.9969362977036713147,0.02257018095134214614,0.07489062000547730413,-1.618118143549636371e-05,0.02204117323122177161,-0.006642829289661856401,0.01742673899361266501,2.0938795391422933,6.947333096065914759,-0.002999028068168945252,1.528368725256909588,-0.46063959989443376,0.07271201570151351878,0,5,3.86296,1.13704,0.0039239,0,3
0.04708683626488392032,-11.49966297477024035,3.799898427165063985,2.500462253811960078,0.9956618113855816299,0.02684895782433389944,0.08908810387997237457,-2.291774555376731396e-05,0.02859454927807202063,-0.008617994925129998998,0.01852033493958733443,2.284284775073462281,7.578892788479344667,-0.003893588953545846793,1.815783164062566124,-0.5472778644767239964,0.02072555191030531208,0,5,3.86296,1.13704,0.0039239,0,3
0.05101073928695758208,-11.49953601133943693,3.799860161913224399,2.500536701862182021,0.9940263708947717491,0.03149302898253601019,0.104497665291817865,-3.1566742896535835e-05,0.03632138380011668694,-0.01094690298106466494,0.01938202004930131978,2.474714928964665273,8.210444872771816449,-0.004950412760367917456,2.126354981876219963,-0.6409048098040468489,-0.0458868562115793896,0,5,3.86296,1.13704,0.0039239,0,3
