t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,u_1,u_2,u_3,u_4,comm_t,comm_id,comm_type
0,-11,-13,2,1,0,0,0,0,0,0,0,0,0,0,0,0.1979529170931427495,2.91161,2.08839,5,0,0.00386425,0,3
0.0038642512283373078,-10.99999999172523601,-12.99999998818778124,2.000003201619045434,0.9999998397256513183,-0.0004637101226603655788,0.0003248408613267536951,1.43899582664908382e-09,8.565449765223272989e-06,1.222717409597362981e-05,0.001657040751648557663,-0.4800000004669384146,0.3362523385617624538,2.979093420606745206e-06,0.006649760667263446105,0.009492529146509158522,0.1979463551962526713,2.91161,2.08839,5,0,0.00386425,0,3
0.007728502456674615599,-10.99999986760387571,-12.99999981100461532,2.000012806280211386,0.9999974356114746943,-0.001854839004321157635,0.001299362403720771093,2.302393422759112923e-08,6.852350179505558854e-05,9.781725720743575836e-05,0.003313929362528191674,-0.960000015875912327,0.6725046555178679775,2.383274719523495667e-05,0.02659895658024650361,0.03796999544953395117,0.1978479269111955985,2.91161,2.08839,5,0,0.00386425,0,3
0.01159275368501192296,-10.99999932974662364,-12.99999904321368405,2.000028812219771801,0.9999870178056985415,-0.004173373269721092002,0.002923555250613617089,1.165586788448309676e-07,0.0002312654269094735135,0.0003301312850290075585,0.004969905133533892433,-1.440000120937087846,1.008756842840028867,8.043551930952275034e-05,0.05984681289679485289,0.08543130871942988813,0.1974214079887045559,2.91161,2.08839,5,0,0.00386425,0,3
0.0154570049133492312,-10.99999788168546644,-12.99999697610685168,2.000051212578867421,0.999958970046960216,-0.007419260904212321775,0.005197382937760062702,3.683830974055327781e-07,0.0005481758422539791554,0.0007825209316492280154,0.006622990294434496356,-1.920000509896782948,1.345008619654661342,0.0001906619559071795391,0.1063903164022903802,0.1518722294148179552,0.1962731172616888342,2.91161,2.08839,5,0,0.00386425,0,3
0.01932125614168653943,-10.99999482842187426,-12.99999261757248981,2.000079989524990776,0.9998998302037346297,-0.01159236667148131998,0.008120750659414387174,8.99373389436219795e-07,0.001070619404681818956,0.001528309787367089761,0.008269381691364242892,-2.400001556305007,1.681259445820070475,0.0003723865676060519447,0.1662216331547432535,0.2372817353134216989,0.1938520049883632468,2.91161,2.08839,5,0,0.00386425,0,3
0.02318550737002384593,-10.99998927654828229,-12.99998469226639841,2.000115106023737432,0.9997922916336621224,-0.01669240970399404542,0.01169346151708876118,1.864942911177155082e-06,0.001849915531495483411,0.00264075779120784282,0.009902843047805131096,-2.880003872781622398,2.017508435503204023,0.0006434837844982749678,0.2393244945119562817,0.3416369367140706936,0.1894498754559343634,2.91161,2.08839,5,0,0.00386425,0,3
0.02704975859836115243,-10.99998013449679668,-12.99997164196173216,2.000156495264275858,0.9996152059668000911,-0.02271888327776799832,0.01591516027935812455,3.455043860811242655e-06,0.002937297166695694746,0.004193003215740253621,0.01151409849980985015,-3.360008370779441922,2.353754270755451294,0.001021827882728215068,0.3256695542662644272,0.4648965440044742214,0.1822018426999697516,2.91161,2.08839,5,0,0.00386425,0,3
0.03091400982669845893,-10.99996611298445437,-12.99995162617547351,2.000204047745490765,0.9993435880891482492,-0.02967095679491152382,0.02078526466981178711,5.89417028360681877e-06,0.00438384962635935977,0.006257976623567395799,0.01309022854252389276,-3.840016320341528289,2.689995115086631916,0.001525292875540182596,0.4252087223918217251,0.6069928953399044147,0.1710871462739072257,2.91161,2.08839,5,0,0.00386425,0,3
0.03477826105503576543,-10.99994572573964469,-12.99992252319049335,2.000257596035183827,0.9989486242747561695,-0.03754736001559670633,0.02630288421354794876,9.441362942405816421e-06,0.006240425585768268057,0.008908281255664566439,0.01461407006946057081,-4.320029409848647362,3.026228527035911942,0.00217175236168469293,0.5378684851858442917,0.7678225581945877787,0.1549304818404892148,2.91161,2.08839,5,0,0.00386425,0,3
0.03864251228337307192,-10.9999172906093996,-12.99988193161348882,2.000316897222418344,0.9983976845860271787,-0.04634624960715937048,0.03246672669159361702,1.439021666592429642e-05,0.008557532319854257302,0.01221603438059887942,0.01606362283719487902,-4.8000498057512484,3.362451373737892713,0.002979079324066618087,0.6635422276847683376,0.9472355271292838275,0.1324040287673333705,2.91161,2.08839,5,0,0.00386425,0,3
0.04250676351171037842,-10.99987893116218274,-12.99982717263008603,2.000381613093551447,0.9976543408320830419,-0.05606505811325337985,0.03927499227833343431,2.10688908239755891e-05,0.01138518738507806292,0.01625266424136802279,0.01741146544404055183,-5.280080212278517315,3.69865974448154633,0.003965145871510080897,0.8020815824777373093,1.145023051713708107,0.1020303836293626337,2.91161,2.08839,5,0,0.00386425,0,3
0.04637101474004768492,-10.99982857891531651,-12.99975529313878653,2.000451288076046108,0.9966783915437088526,-0.06670032549181935388,0.04672525547046109395,2.984012356932579113e-05,0.01477273904389262392,0.02108865739562650055,0.01862418476853972341,-5.760123931114929263,4.034848864259014789,0.005147822916502423247,0.9532868397300563457,1.360904143582915227,0.06218663419663301301,2.91161,2.08839,5,0,0.00386425,0,3
0.05023526596838499142,-10.99976397633018266,-12.99966306996516785,2.000525325011222044,0.9954258955897431482,-0.07824751342843493107,0.05481433495812627898,4.110125041015739072e-05,0.01876864789248507484,0.02679325146953494968,0.0196618237673383961,-6.240184921032383869,4.371013007300557973,0.006544979781761710302,1.116896466657228526,1.594510830499027199,0.01110983265844934717,2.91161,2.08839,5,0,0.00386425,0,3
